# Time(ps) Perimeter(Angstrom)
0.00 1873.7182
1000.00 1779.0417
2000.00 1740.4415
3000.00 1726.0459
4000.00 1692.5235
5000.00 1688.1564
6000.00 1682.8243
7000.00 1679.3160
8000.00 1667.0954
9000.00 1664.4649
10000.00 1652.8962
11000.00 1642.5575
12000.00 1646.4267
13000.00 1652.8837
14000.00 1622.3781
15000.00 1623.5291
16000.00 1624.2030
17000.00 1617.8079
18000.00 1627.8072
19000.00 1620.7491
20000.00 1620.8559
21000.00 1600.6911
22000.00 1587.7447
23000.00 1585.9816
24000.00 1594.2286
25000.00 1582.4655
26000.00 1575.5420
27000.00 1582.4138
28000.00 1580.3066
29000.00 1574.4973
30000.00 1591.3346
31000.00 1607.8365
32000.00 1566.5359
33000.00 1545.5886
34000.00 1551.1482
35000.00 1545.4357
36000.00 1549.5384
37000.00 1535.3030
38000.00 1528.5227
39000.00 1513.0246
40000.00 1498.1589
41000.00 1488.3572
42000.00 1489.6808
43000.00 1481.4068
44000.00 1464.9113
45000.00 1439.4372
46000.00 1450.1795
47000.00 1392.8254
48000.00 1385.9834
49000.00 1358.5523
50000.00 1336.7720
51000.00 1312.7375
52000.00 1304.9356
53000.00 1276.2336
54000.00 1255.7042
55000.00 1232.4066
56000.00 1213.1988
57000.00 1185.8196
58000.00 1159.5738
59000.00 1123.5667
60000.00 1106.0523
61000.00 1101.2220
62000.00 1079.7177
63000.00 1051.3666
64000.00 1026.2907
65000.00 982.2592
66000.00 967.3084
67000.00 941.2134
68000.00 919.5983
69000.00 873.5276
70000.00 847.0100
71000.00 826.4630
72000.00 802.6268
73000.00 777.6647
74000.00 750.4043
75000.00 707.7194
76000.00 698.7585
77000.00 667.5000
78000.00 627.1882
79000.00 589.5689
80000.00 566.8394
81000.00 529.1132
82000.00 518.9548
83000.00 521.9506
84000.00 503.8032
85000.00 523.0294
86000.00 447.8919
87000.00 424.7175
88000.00 400.9388
89000.00 379.7487
90000.00 339.8965
91000.00 315.5201
92000.00 290.6121
93000.00 269.2477
94000.00 242.0592
95000.00 204.1515
96000.00 197.8750
97000.00 246.9007
98000.00 154.3273
99000.00 95.5834
100000.00 0.0000
101000.00 0.0000
102000.00 0.0000
103000.00 0.0000
104000.00 0.0000
105000.00 0.0000
106000.00 0.0000
107000.00 0.0000
108000.00 0.0000
109000.00 0.0000
110000.00 0.0000
111000.00 0.0000
112000.00 0.0000
113000.00 0.0000
114000.00 0.0000
115000.00 0.0000
116000.00 0.0000
117000.00 0.0000
118000.00 0.0000
119000.00 0.0000
120000.00 0.0000
121000.00 0.0000
122000.00 0.0000
123000.00 0.0000
124000.00 0.0000
125000.00 0.0000
126000.00 0.0000
127000.00 0.0000
128000.00 0.0000
129000.00 0.0000
130000.00 0.0000
131000.00 0.0000
132000.00 0.0000
133000.00 0.0000
134000.00 0.0000
135000.00 0.0000
136000.00 0.0000
137000.00 0.0000
138000.00 0.0000
139000.00 0.0000
140000.00 0.0000
141000.00 0.0000
142000.00 0.0000
143000.00 0.0000
144000.00 0.0000
145000.00 0.0000
146000.00 0.0000
147000.00 0.0000
148000.00 0.0000
149000.00 0.0000
150000.00 0.0000
151000.00 0.0000
152000.00 0.0000
153000.00 0.0000
154000.00 0.0000
155000.00 0.0000
156000.00 0.0000
157000.00 0.0000
158000.00 0.0000
159000.00 0.0000
160000.00 0.0000
161000.00 0.0000
162000.00 0.0000
163000.00 0.0000
164000.00 0.0000
165000.00 0.0000
166000.00 0.0000
167000.00 0.0000
168000.00 0.0000
169000.00 0.0000
170000.00 0.0000
171000.00 14.0007
172000.00 0.0000
173000.00 0.0000
174000.00 0.0000
175000.00 0.0000
176000.00 0.0000
177000.00 0.0000
178000.00 0.0000
179000.00 0.0000
180000.00 0.0000
181000.00 0.0000
182000.00 0.0000
183000.00 0.0000
184000.00 0.0000
185000.00 0.0000
186000.00 0.0000
187000.00 0.0000
188000.00 0.0000
189000.00 0.0000
190000.00 0.0000
191000.00 0.0000
192000.00 0.0000
193000.00 0.0000
194000.00 0.0000
195000.00 0.0000
196000.00 0.0000
197000.00 0.0000
198000.00 0.0000
199000.00 0.0000
200000.00 0.0000
