# Time(ps) Median_Gaussian_Curvature(1/A^2)
0.0000 -0.00000019
100.0000 -0.00000016
200.0000 -0.00000017
300.0000 -0.00000012
400.0000 -0.00000018
500.0000 -0.00000015
600.0000 -0.00000019
700.0000 -0.00000021
800.0000 -0.00000022
900.0000 -0.00000017
1000.0000 -0.00000023
1100.0000 -0.00000026
1200.0000 -0.00000025
1300.0000 -0.00000026
1400.0000 -0.00000029
1500.0000 -0.00000024
1600.0000 -0.00000027
1700.0000 -0.00000029
1800.0000 -0.00000021
1900.0000 -0.00000018
2000.0000 -0.00000020
2100.0000 -0.00000017
2200.0000 -0.00000019
2300.0000 -0.00000021
2400.0000 -0.00000021
2500.0000 -0.00000019
2600.0000 -0.00000015
2700.0000 -0.00000011
2800.0000 -0.00000012
2900.0000 -0.00000010
3000.0000 -0.00000019
3100.0000 -0.00000016
3200.0000 -0.00000015
3300.0000 -0.00000015
3400.0000 -0.00000011
3500.0000 -0.00000008
3600.0000 -0.00000014
3700.0000 -0.00000011
3800.0000 -0.00000008
3900.0000 -0.00000007
4000.0000 -0.00000007
4100.0000 -0.00000007
4200.0000 -0.00000005
4300.0000 -0.00000004
4400.0000 -0.00000006
4500.0000 -0.00000006
4600.0000 -0.00000003
4700.0000 -0.00000005
4800.0000 -0.00000006
4900.0000 -0.00000005
5000.0000 -0.00000009
5100.0000 -0.00000014
5200.0000 -0.00000013
5300.0000 -0.00000021
5400.0000 -0.00000013
5500.0000 -0.00000021
5600.0000 -0.00000024
5700.0000 -0.00000018
5800.0000 -0.00000022
5900.0000 -0.00000028
6000.0000 -0.00000021
6100.0000 -0.00000017
6200.0000 -0.00000015
6300.0000 -0.00000014
6400.0000 -0.00000016
6500.0000 -0.00000011
6600.0000 -0.00000012
6700.0000 -0.00000008
6800.0000 -0.00000012
6900.0000 -0.00000013
7000.0000 -0.00000014
7100.0000 -0.00000017
7200.0000 -0.00000023
7300.0000 -0.00000020
7400.0000 -0.00000023
7500.0000 -0.00000023
7600.0000 -0.00000023
7700.0000 -0.00000021
7800.0000 -0.00000023
7900.0000 -0.00000020
8000.0000 -0.00000020
8100.0000 -0.00000021
8200.0000 -0.00000019
8300.0000 -0.00000020
8400.0000 -0.00000021
8500.0000 -0.00000028
8600.0000 -0.00000027
8700.0000 -0.00000023
8800.0000 -0.00000027
8900.0000 -0.00000020
9000.0000 -0.00000017
9100.0000 -0.00000016
9200.0000 -0.00000020
9300.0000 -0.00000016
9400.0000 -0.00000017
9500.0000 -0.00000024
9600.0000 -0.00000027
9700.0000 -0.00000024
9800.0000 -0.00000016
9900.0000 -0.00000018
10000.0000 -0.00000019
10100.0000 -0.00000024
10200.0000 -0.00000020
10300.0000 -0.00000019
10400.0000 -0.00000021
10500.0000 -0.00000012
10600.0000 -0.00000008
10700.0000 -0.00000008
10800.0000 -0.00000013
10900.0000 -0.00000010
11000.0000 -0.00000010
11100.0000 -0.00000011
11200.0000 -0.00000012
11300.0000 -0.00000014
11400.0000 -0.00000010
11500.0000 -0.00000012
11600.0000 -0.00000017
11700.0000 -0.00000022
11800.0000 -0.00000016
11900.0000 -0.00000011
12000.0000 -0.00000005
12100.0000 -0.00000005
12200.0000 -0.00000007
12300.0000 -0.00000008
12400.0000 -0.00000005
12500.0000 -0.00000008
12600.0000 -0.00000013
12700.0000 -0.00000009
12800.0000 -0.00000012
12900.0000 -0.00000010
13000.0000 -0.00000009
13100.0000 -0.00000010
13200.0000 -0.00000016
13300.0000 -0.00000017
13400.0000 -0.00000015
13500.0000 -0.00000021
13600.0000 -0.00000022
13700.0000 -0.00000015
13800.0000 -0.00000013
