# Time(ps) Median_Mean_Curvature(1/A)
0.0000 0.00007720
100.0000 0.00009445
200.0000 0.00014720
300.0000 0.00024521
400.0000 0.00017956
500.0000 0.00025199
600.0000 0.00025029
700.0000 0.00026998
800.0000 0.00027629
900.0000 0.00028088
1000.0000 0.00032242
1100.0000 0.00030266
1200.0000 0.00034761
1300.0000 0.00033435
1400.0000 0.00033316
1500.0000 0.00036404
1600.0000 0.00036500
1700.0000 0.00030513
1800.0000 0.00037886
1900.0000 0.00034795
2000.0000 0.00028081
2100.0000 0.00024550
2200.0000 0.00026748
2300.0000 0.00030909
2400.0000 0.00029663
2500.0000 0.00036178
2600.0000 0.00045307
2700.0000 0.00044168
2800.0000 0.00044687
2900.0000 0.00043140
3000.0000 0.00044821
3100.0000 0.00045057
3200.0000 0.00037530
3300.0000 0.00042470
3400.0000 0.00040196
3500.0000 0.00041281
3600.0000 0.00035794
3700.0000 0.00041790
3800.0000 0.00042550
3900.0000 0.00044431
4000.0000 0.00043918
4100.0000 0.00051987
4200.0000 0.00047979
4300.0000 0.00052291
4400.0000 0.00050248
4500.0000 0.00060075
4600.0000 0.00067027
4700.0000 0.00067907
4800.0000 0.00060928
4900.0000 0.00062183
5000.0000 0.00051913
5100.0000 0.00050296
5200.0000 0.00061014
5300.0000 0.00053073
5400.0000 0.00056542
5500.0000 0.00055986
5600.0000 0.00057505
5700.0000 0.00057377
5800.0000 0.00054160
5900.0000 0.00051784
6000.0000 0.00052753
6100.0000 0.00056399
6200.0000 0.00067537
6300.0000 0.00066158
6400.0000 0.00062963
6500.0000 0.00073528
6600.0000 0.00067978
6700.0000 0.00070721
6800.0000 0.00066992
6900.0000 0.00067707
7000.0000 0.00067308
7100.0000 0.00065096
7200.0000 0.00068566
7300.0000 0.00063551
7400.0000 0.00066905
7500.0000 0.00064649
7600.0000 0.00064100
7700.0000 0.00059882
7800.0000 0.00064486
7900.0000 0.00057967
8000.0000 0.00060700
8100.0000 0.00060282
8200.0000 0.00061044
8300.0000 0.00051683
8400.0000 0.00056088
8500.0000 0.00049173
8600.0000 0.00061453
8700.0000 0.00057080
8800.0000 0.00055161
8900.0000 0.00058984
9000.0000 0.00059811
9100.0000 0.00061269
9200.0000 0.00058615
9300.0000 0.00054658
9400.0000 0.00061170
9500.0000 0.00054804
9600.0000 0.00053940
9700.0000 0.00060211
9800.0000 0.00065761
9900.0000 0.00064287
10000.0000 0.00063377
10100.0000 0.00060970
10200.0000 0.00064087
10300.0000 0.00067032
10400.0000 0.00067282
10500.0000 0.00076309
10600.0000 0.00079642
10700.0000 0.00077453
10800.0000 0.00073318
10900.0000 0.00080427
11000.0000 0.00082916
11100.0000 0.00085221
11200.0000 0.00084633
11300.0000 0.00082726
11400.0000 0.00083544
11500.0000 0.00085593
11600.0000 0.00078527
11700.0000 0.00070963
11800.0000 0.00068997
11900.0000 0.00074274
12000.0000 0.00076757
12100.0000 0.00079115
12200.0000 0.00076458
12300.0000 0.00075103
12400.0000 0.00077726
12500.0000 0.00068594
12600.0000 0.00069993
12700.0000 0.00072549
12800.0000 0.00070859
12900.0000 0.00072300
13000.0000 0.00073247
13100.0000 0.00064742
13200.0000 0.00068673
13300.0000 0.00076536
13400.0000 0.00075263
13500.0000 0.00077007
13600.0000 0.00078828
13700.0000 0.00081859
13800.0000 0.00083415
13900.0000 0.00079988
14000.0000 0.00082550
14100.0000 0.00082928
14200.0000 0.00087988
14300.0000 0.00083522
14400.0000 0.00078126
14500.0000 0.00078716
14600.0000 0.00079528
14700.0000 0.00077624
14800.0000 0.00085711
14900.0000 0.00089378
15000.0000 0.00082096
15100.0000 0.00081838
15200.0000 0.00078128
15300.0000 0.00076219
15400.0000 0.00075770
15500.0000 0.00076271
15600.0000 0.00076276
15700.0000 0.00080988
15800.0000 0.00076444
15900.0000 0.00071010
16000.0000 0.00071501
16100.0000 0.00074673
16200.0000 0.00073392
16300.0000 0.00073353
16400.0000 0.00074170
16500.0000 0.00083422
16600.0000 0.00084544
16700.0000 0.00079179
16800.0000 0.00088238
16900.0000 0.00091221
17000.0000 0.00085870
17100.0000 0.00083313
17200.0000 0.00082356
17300.0000 0.00083483
17400.0000 0.00086620
17500.0000 0.00085836
17600.0000 0.00083080
17700.0000 0.00078660
17800.0000 0.00075773
17900.0000 0.00087353
18000.0000 0.00089739
18100.0000 0.00084844
18200.0000 0.00078364
18300.0000 0.00080404
18400.0000 0.00076214
18500.0000 0.00082298
18600.0000 0.00083954
18700.0000 0.00085138
18800.0000 0.00093123
18900.0000 0.00089754
19000.0000 0.00085652
19100.0000 0.00080028
19200.0000 0.00089332
19300.0000 0.00089841
19400.0000 0.00084550
19500.0000 0.00081511
19600.0000 0.00079319
19700.0000 0.00078535
19800.0000 0.00079091
19900.0000 0.00083746
20000.0000 0.00082443
20100.0000 0.00080123
20200.0000 0.00085206
20300.0000 0.00086446
20400.0000 0.00085444
20500.0000 0.00086048
20600.0000 0.00089216
20700.0000 0.00097972
20800.0000 0.00099583
20900.0000 0.00099476
21000.0000 0.00102999
21100.0000 0.00108239
21200.0000 0.00115086
21300.0000 0.00120006
21400.0000 0.00124105
21500.0000 0.00120002
21600.0000 0.00119131
21700.0000 0.00121350
21800.0000 0.00126497
21900.0000 0.00122388
22000.0000 0.00125342
22100.0000 0.00128829
22200.0000 0.00120252
22300.0000 0.00121677
22400.0000 0.00131398
22500.0000 0.00128814
22600.0000 0.00132728
22700.0000 0.00135547
22800.0000 0.00144401
22900.0000 0.00142438
23000.0000 0.00144185
23100.0000 0.00136774
23200.0000 0.00137786
23300.0000 0.00133759
23400.0000 0.00137131
23500.0000 0.00134549
23600.0000 0.00136243
23700.0000 0.00124831
23800.0000 0.00140917
23900.0000 0.00139894
24000.0000 0.00134480
24100.0000 0.00134688
24200.0000 0.00124307
24300.0000 0.00134639
24400.0000 0.00133616
24500.0000 0.00132526
24600.0000 0.00130779
24700.0000 0.00128656
24800.0000 0.00141316
24900.0000 0.00142042
25000.0000 0.00134284
25100.0000 0.00138197
25200.0000 0.00143690
25300.0000 0.00131759
25400.0000 0.00133225
25500.0000 0.00135364
25600.0000 0.00128491
25700.0000 0.00124433
25800.0000 0.00126914
25900.0000 0.00132476
26000.0000 0.00141569
26100.0000 0.00139687
26200.0000 0.00140213
26300.0000 0.00150481
26400.0000 0.00139894
26500.0000 0.00137630
26600.0000 0.00147371
26700.0000 0.00143872
26800.0000 0.00139715
26900.0000 0.00152101
27000.0000 0.00153737
27100.0000 0.00166077
27200.0000 0.00160416
27300.0000 0.00165692
27400.0000 0.00176891
27500.0000 0.00178932
27600.0000 0.00166770
27700.0000 0.00163711
27800.0000 0.00161521
27900.0000 0.00155503
28000.0000 0.00157256
28100.0000 0.00158538
28200.0000 0.00158895
28300.0000 0.00156580
28400.0000 0.00165471
28500.0000 0.00153825
28600.0000 0.00159101
28700.0000 0.00155434
28800.0000 0.00160428
28900.0000 0.00155536
29000.0000 0.00153182
29100.0000 0.00140891
29200.0000 0.00146366
29300.0000 0.00143036
29400.0000 0.00148437
29500.0000 0.00144890
29600.0000 0.00148848
29700.0000 0.00147117
29800.0000 0.00163081
29900.0000 0.00159323
30000.0000 0.00155398
30100.0000 0.00159521
30200.0000 0.00161335
30300.0000 0.00155783
30400.0000 0.00155961
30500.0000 0.00159953
30600.0000 0.00163933
30700.0000 0.00154388
30800.0000 0.00165088
30900.0000 0.00171128
31000.0000 0.00169792
31100.0000 0.00168631
31200.0000 0.00174392
31300.0000 0.00167415
31400.0000 0.00170097
31500.0000 0.00177204
31600.0000 0.00174801
31700.0000 0.00179313
31800.0000 0.00179292
31900.0000 0.00179189
32000.0000 0.00181448
32100.0000 0.00187506
32200.0000 0.00181509
32300.0000 0.00185852
32400.0000 0.00181708
32500.0000 0.00187962
32600.0000 0.00187784
32700.0000 0.00194919
32800.0000 0.00203698
32900.0000 0.00207927
33000.0000 0.00208266
33100.0000 0.00204179
33200.0000 0.00204894
33300.0000 0.00201924
33400.0000 0.00208790
33500.0000 0.00201136
33600.0000 0.00204246
33700.0000 0.00200736
33800.0000 0.00206172
33900.0000 0.00204090
34000.0000 0.00203966
34100.0000 0.00207279
34200.0000 0.00212164
34300.0000 0.00209982
34400.0000 0.00212865
34500.0000 0.00206776
34600.0000 0.00207925
34700.0000 0.00209215
34800.0000 0.00200678
34900.0000 0.00196389
35000.0000 0.00200684
35100.0000 0.00198421
35200.0000 0.00199271
35300.0000 0.00208610
35400.0000 0.00209340
35500.0000 0.00211681
35600.0000 0.00207767
35700.0000 0.00209367
35800.0000 0.00206533
35900.0000 0.00199866
36000.0000 0.00211399
36100.0000 0.00205755
36200.0000 0.00209380
36300.0000 0.00212272
36400.0000 0.00213124
36500.0000 0.00209591
36600.0000 0.00206783
36700.0000 0.00210794
36800.0000 0.00210460
36900.0000 0.00218936
37000.0000 0.00221418
37100.0000 0.00219237
37200.0000 0.00207762
37300.0000 0.00215018
37400.0000 0.00208880
37500.0000 0.00216776
37600.0000 0.00217563
37700.0000 0.00219873
37800.0000 0.00216469
37900.0000 0.00212693
38000.0000 0.00218926
38100.0000 0.00219954
38200.0000 0.00220982
38300.0000 0.00225229
38400.0000 0.00209199
38500.0000 0.00224337
38600.0000 0.00226648
38700.0000 0.00229132
38800.0000 0.00238748
38900.0000 0.00235989
39000.0000 0.00229036
39100.0000 0.00233976
39200.0000 0.00231542
39300.0000 0.00228333
39400.0000 0.00227889
39500.0000 0.00229711
39600.0000 0.00228028
39700.0000 0.00228973
